Scenario,Strategy,ReserveSize,Iteration,AvDensity,LogRatCorals,WVTraitSp1,WVTraitSp2,Ext1,Ext2,ExtBoth,V,D
5,7,0.1,1,0.090126427,-1.289042867,0.362682368,0.250627714,NA,NA,NA,0.1,0.001
5,7,0.2,1,0.204229941,-1.289042867,0.550216616,0.260555421,NA,NA,NA,0.1,0.001
5,7,0.3,1,0.294119396,-1.289042867,0.614952497,0.263545789,NA,NA,NA,0.1,0.001
5,7,0.5,1,0.429626619,-1.289042867,0.456826396,0.266065399,NA,NA,NA,0.1,0.001
5,8,0,1,0.002814834,-1.458135635,0.580990239,0.39290281,270,NA,NA,0.1,0.001
5,8,0.1,1,0.109228701,-1.458135635,0.629764002,0.266864213,NA,NA,NA,0.1,0.001
5,8,0.2,1,0.186473302,-1.458135635,0.472362329,0.259085274,NA,NA,NA,0.1,0.001
5,8,0.3,1,0.272672552,-1.458135635,0.529889606,0.258147119,NA,NA,NA,0.1,0.001
5,8,0.5,1,0.4098076,-1.458135635,0.431791051,0.264312858,NA,NA,NA,0.1,0.001
5,9,0,1,0.002814834,-0.383886017,0.580990239,0.39290281,270,NA,NA,0.1,0.001
5,9,0.1,1,0.11628057,-0.383886017,0.898819923,0.250021239,NA,NA,NA,0.1,0.001
5,9,0.2,1,0.246011317,-0.383886017,0.836845999,0.269636288,NA,NA,NA,0.1,0.001
5,9,0.3,1,0.300595053,-0.383886017,0.593874317,0.268734872,NA,NA,NA,0.1,0.001
5,9,0.5,1,0.473413104,-0.383886017,0.630987936,0.26301098,NA,NA,NA,0.1,0.001
6,1,0,1,0.208983554,-10.75545767,1.061390022,1.061369984,1,NA,NA,0.4,0.001
6,1,0.1,1,0.269544509,-10.75545767,1.037499515,1.037486355,1,NA,NA,0.4,0.001
6,1,0.2,1,0.316982711,-10.75545767,1.040699841,1.040690287,1,NA,NA,0.4,0.001
6,1,0.3,1,0.36632022,-10.75545767,1.038066664,1.038058796,1,NA,NA,0.4,0.001
6,1,0.5,1,0.482774427,-10.75545767,1.039237247,1.039231969,1,NA,NA,0.4,0.001
6,2,0,1,0.208983554,-10.415105,1.061390022,1.061369984,1,NA,NA,0.4,0.001
6,2,0.1,1,0.262584523,-10.415105,1.024929884,1.024911719,1,NA,NA,0.4,0.001
6,2,0.2,1,0.320450302,-10.415105,1.020364431,1.02035016,1,NA,NA,0.4,0.001
6,2,0.3,1,0.365903944,-10.415105,1.022650124,1.022638314,1,NA,NA,0.4,0.001
6,2,0.5,1,0.475674073,-10.415105,1.036514686,1.036506988,1,NA,NA,0.4,0.001
6,3,0,1,0.208983554,-10.79165256,1.061390022,1.061369984,1,NA,NA,0.4,0.001
6,3,0.1,1,0.268174875,-10.79165256,1.03164581,1.031628739,1,NA,NA,0.4,0.001
6,3,0.2,1,0.326741167,-10.79165256,1.026885876,1.026875226,1,NA,NA,0.4,0.001
6,3,0.3,1,0.381573033,-10.79165256,1.026062423,1.02605445,1,NA,NA,0.4,0.001
6,3,0.5,1,0.482017658,-10.79165256,1.026913201,1.026908048,1,NA,NA,0.4,0.001
6,4,0,1,0.208983554,-10.60243221,1.061390022,1.061369984,1,NA,NA,0.4,0.001
6,4,0.1,1,0.254922282,-10.60243221,1.035701999,1.035683952,1,NA,NA,0.4,0.001
6,4,0.2,1,0.313553026,-10.60243221,1.039550496,1.039536946,1,NA,NA,0.4,0.001
6,4,0.3,1,0.379132456,-10.60243221,1.040822479,1.040812436,1,NA,NA,0.4,0.001
6,4,0.5,1,0.508669041,-10.60243221,1.034388134,1.034381256,1,NA,NA,0.4,0.001
